province,restaurant_count
Arkansas,13
Arizona,70
Ohio,97
Michigan,94
Maryland,32
California,255
Florida,163
Texas,139
North Carolina,69
Pennsylvania,179
Louisiana,11
New York,425
Indiana,62
Colorado,40
Nevada,20
Iowa,15
Oklahoma,12
New Mexico,12
Wisconsin,40
Virginia,58
Oregon,33
Minnesota,25
Tennessee,26
Washington,54
South Carolina,27
Mississippi,7
Missouri,28
Georgia,65
Illinois,125
Delaware,7
Kansas,12
Utah,16
Kentucky,21
Nebraska,9
South Dakota,2
West Virginia,7
Alabama,3
Alaska,3
Idaho,4
Connecticut,1
Hawaii,1
New Jersey,1
North Dakota,1
Montana,1
