city,province,restaurant_count,avg_pizza_price,avg_min_spend
Madison Heights,Michigan,1,5.99,25.0
Grand Rapids,Michigan,1,12.25,25.0
New Orleans,Louisiana,3,14.3,25.0
New York,New York,22,17.5,23.73
Arlington,Texas,4,13.11,25.0
Tucson,Arizona,4,9.81,25.0
Warminster,Pennsylvania,1,9.4,25.0
Paradise Valley,Arizona,1,15.95,25.0
Greensboro,North Carolina,1,8.49,25.0
Orlando,Florida,2,9.97,25.0
Woodside,New York,1,18.08,25.0
Indianapolis,Indiana,6,8.26,25.0
El Segundo,California,2,7.88,25.0
Alamosa,Colorado,1,9.99,25.0
New Baltimore,Michigan,1,7.33,25.0
Baltimore,Maryland,2,9.62,25.0
Portsmouth,Virginia,1,11.66,25.0
Evansville,Indiana,1,3.37,25.0
Scarsdale,New York,1,13.24,25.0
Tempe,Arizona,1,7.99,25.0
San Francisco,California,8,18.24,22.12
San Diego,California,3,9.26,25.0
San Antonio,Texas,4,11.36,32.5
Austin,Texas,5,11.53,25.0
Pompano Beach,Florida,1,13.95,25.0
Flowery Branch,Georgia,1,8.99,25.0
Albuquerque,New Mexico,1,9.0,25.0
Jensen Beach,Florida,1,15.0,25.0
Monroe,New York,1,5.95,25.0
Little Neck,New York,1,12.0,25.0
Lincoln,Nebraska,1,3.49,25.0
Eden Prairie,Minnesota,1,3.49,25.0
San Bruno,California,1,18.4,25.0
Seaford,New York,1,5.0,25.0
Dallas,Texas,5,13.17,25.0
Memphis,Tennessee,1,7.08,25.0
Miami,Florida,2,12.77,32.5
Bothell,Washington,1,4.75,25.0
Atlanta,Georgia,5,13.98,18.4
Drexel Hill,Pennsylvania,1,8.97,25.0
Fort Lauderdale,Florida,2,15.42,25.0
Middle Village,New York,1,12.78,25.0
Tulsa,Oklahoma,2,16.13,25.0
Saint Paul,Minnesota,3,12.57,25.0
Thornwood,New York,1,9.45,25.0
Gainesville,Florida,1,19.15,25.0
Spring,Texas,2,8.25,25.0
Ashland,Oregon,1,11.5,25.0
Salisbury,Maryland,1,8.0,25.0
Petersburg,Virginia,1,12.0,25.0
Costa Mesa,California,1,11.0,25.0
Wylie,Texas,1,5.99,25.0
Thousand Oaks,California,2,19.33,25.0
Philadelphia,Pennsylvania,2,5.88,25.0
Oxon Hill,Maryland,1,10.22,25.0
Knoxville,Tennessee,1,9.62,25.0
Des Plaines,Illinois,1,11.5,25.0
Evergreen Park,Illinois,2,5.82,25.0
Massapequa,New York,1,14.98,25.0
Troy,New York,1,8.0,25.0
Brooklyn,New York,9,16.91,27.78
Garden City,New York,1,10.75,25.0
Las Vegas,Nevada,1,9.28,25.0
Gilbert,Arizona,2,11.49,25.0
Amityville,New York,1,17.92,25.0
Portland,Oregon,2,25.33,32.5
Ithaca,New York,1,3.46,25.0
Sacramento,California,2,13.48,25.0
Columbus,Ohio,2,15.59,25.0
Farmingdale,New York,2,14.09,25.0
Irvine,California,1,2.99,25.0
Louisville,Kentucky,1,18.65,25.0
Charlottesville,Virginia,1,5.45,25.0
Forest Hills,New York,1,15.0,25.0
Littleton,Colorado,1,5.75,25.0
Lenexa,Kansas,1,9.75,25.0
Mesa,Arizona,3,9.65,25.0
Kansas City,Missouri,2,17.2,25.0
Los Angeles,California,7,34.33,25.0
Alexandria,Virginia,1,9.49,25.0
Seattle,Washington,8,17.52,16.0
Marietta,Georgia,3,9.43,25.0
Charlotte,North Carolina,8,9.88,25.0
Houston,Texas,4,8.78,25.0
Charleston,West Virginia,1,7.67,25.0
Omaha,Nebraska,2,17.86,25.0
Davidson,North Carolina,1,14.45,25.0
Dayton,Ohio,1,9.0,25.0
Hermitage,Tennessee,1,11.74,25.0
Bucyrus,Ohio,1,7.47,25.0
Burlington,North Carolina,1,4.95,25.0
Horsham,Pennsylvania,1,19.75,25.0
Hillsboro,Oregon,1,5.0,25.0
Mountain View,California,1,6.74,25.0
Eugene,Oregon,2,18.64,32.5
Hudson,New York,1,7.57,25.0
Miami Beach,Florida,3,14.09,25.0
Bettendorf,Iowa,1,19.5,50.0
Denver,Colorado,4,7.91,19.0
Biloxi,Mississippi,1,8.0,25.0
South Bend,Indiana,3,15.04,17.67
Newton,North Carolina,1,7.99,25.0
Kingston,New York,1,11.0,25.0
Birmingham,Alabama,1,4.25,25.0
Bethpage,New York,1,2.33,25.0
Ridgewood,New York,2,14.85,25.0
Santa Monica,California,1,17.09,25.0
Oneonta,New York,1,21.0,25.0
Park City,Utah,1,3.0,25.0
Santa Ana,California,1,118.99,25.0
Burlingame,California,1,8.95,25.0
Lone Tree,Colorado,1,14.79,25.0
Champaign,Illinois,1,11.99,25.0
Rohnert Park,California,1,24.77,25.0
Oakland,California,2,20.02,25.0
Canoga Park,California,1,19.46,25.0
Manteca,California,1,13.99,25.0
Lombard,Illinois,2,8.0,25.0
Hamtramck,Michigan,1,8.49,25.0
Coeur d'Alene,Idaho,1,10.5,25.0
Ventura,California,1,9.95,25.0
Auburn,California,1,15.0,25.0
Oceanside,California,1,7.66,25.0
